crop,state,date,avg_modal_price
banana,Nct Of Delhi,2023-08-31,1500.0
banana,Punjab,2023-07-31,2465.5172413793102
banana,Punjab,2023-08-31,2741.0526315789475
banana,Punjab,2025-05-31,3011.1111111111113
banana,Rajasthan,2023-07-31,2444.4444444444443
banana,Rajasthan,2023-08-31,2150.0
banana,Rajasthan,2025-05-31,2350.0
banana,Tamil Nadu,2023-07-31,3600.0
banana,Telangana,2023-07-31,3000.0
banana,Telangana,2023-08-31,3000.0
banana,Tripura,2023-07-31,2200.0
banana,Tripura,2023-08-31,2250.0
banana,Tripura,2025-05-31,3400.0
banana,Uttar Pradesh,2023-07-31,2486.603773584906
banana,Uttar Pradesh,2023-08-31,2559.2727272727275
banana,Uttar Pradesh,2025-05-31,2080.0
banana,Uttrakhand,2023-07-31,1140.0
banana,Uttrakhand,2023-08-31,1700.0
banana,Uttrakhand,2025-05-31,1693.3333333333333
banana,West Bengal,2023-07-31,2250.0
banana - green,Chattisgarh,2023-08-31,2100.0
banana - green,Gujarat,2023-07-31,1262.5
banana - green,Gujarat,2023-08-31,1150.0
banana - green,Gujarat,2025-05-31,1375.0
banana - green,Haryana,2023-07-31,2100.0
banana - green,Haryana,2023-08-31,2000.0
banana - green,Haryana,2025-05-31,1633.3333333333333
banana - green,Karnataka,2023-08-31,3750.0
banana - green,Kerala,2023-07-31,4400.877192982456
banana - green,Kerala,2023-08-31,4407.142857142857
banana - green,Kerala,2025-05-31,4752.631578947368
banana - green,Maharashtra,2023-08-31,3300.0
banana - green,Nagaland,2023-07-31,2100.0
banana - green,Nagaland,2023-08-31,1600.0
banana - green,Nct Of Delhi,2023-08-31,2500.0
banana - green,Odisha,2023-07-31,2815.3846153846152
banana - green,Odisha,2023-08-31,3012.8571428571427
banana - green,Odisha,2025-05-31,2966.6666666666665
banana - green,Punjab,2023-07-31,1150.0
banana - green,Punjab,2023-08-31,1150.0
banana - green,Telangana,2023-07-31,1280.0
banana - green,Telangana,2023-08-31,2237.5
banana - green,Telangana,2025-05-31,1700.0
banana - green,Tripura,2023-07-31,4120.0
banana - green,Tripura,2023-08-31,3733.3333333333335
banana - green,Uttar Pradesh,2023-07-31,1721.2295081967213
banana - green,Uttar Pradesh,2023-08-31,1679.5
banana - green,Uttar Pradesh,2025-05-31,1594.4444444444443
banana - green,Uttrakhand,2023-08-31,900.0
barley (jau),Rajasthan,2023-07-31,1608.357142857143
barley (jau),Rajasthan,2023-08-31,1622.3076923076924
barley (jau),Rajasthan,2025-05-31,2205.75
barley (jau),Uttar Pradesh,2023-07-31,2095.714285714286
barley (jau),Uttar Pradesh,2023-08-31,2116.4285714285716
barley (jau),Uttar Pradesh,2025-05-31,2245.0
