State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield
Uttar Pradesh,Ballia,2002,Summer,greengram,357.0,206.0,0.5770308123249299
Uttar Pradesh,Ballia,2002,Summer,blackgram,6.0,3.0,0.5
Uttar Pradesh,Ballia,2002,Whole Year,tobacco,2.0,12.0,6.0
Uttar Pradesh,Ballia,2002,Whole Year,turmeric,2.0,3.0,1.5
Uttar Pradesh,Ballia,2003,Kharif,pigeonpea,7939.0,5146.0,0.6481924675651846
Uttar Pradesh,Ballia,2003,Kharif,pearl millet,1649.0,2223.0,1.3480897513644634
Uttar Pradesh,Ballia,2003,Kharif,groundnut,219.0,146.0,0.6666666666666666
Uttar Pradesh,Ballia,2003,Kharif,sorghum,1557.0,1755.0,1.1271676300578035
Uttar Pradesh,Ballia,2003,Kharif,maize,24969.0,16804.0,0.6729945131963635
Uttar Pradesh,Ballia,2003,Kharif,greengram,9.0,2.0,0.2222222222222222
Uttar Pradesh,Ballia,2003,Kharif,rice,122943.0,219624.0,1.7863888143285913
Uttar Pradesh,Ballia,2003,Kharif,sesame,1.0,0.0,0.0
Uttar Pradesh,Ballia,2003,Kharif,sunflower,6.0,10.0,1.6666666666666667
Uttar Pradesh,Ballia,2003,Kharif,blackgram,10.0,2.0,0.2
Uttar Pradesh,Ballia,2003,Rabi,barley,6337.0,10511.0,1.658671295565725
Uttar Pradesh,Ballia,2003,Rabi,gram,3590.0,4170.0,1.1615598885793872
Uttar Pradesh,Ballia,2003,Rabi,maize,520.0,711.0,1.3673076923076923
Uttar Pradesh,Ballia,2003,Rabi,masoor,20212.0,25629.0,1.2680091035028696
Uttar Pradesh,Ballia,2003,Rabi,peas & beans (pulses),2487.0,2975.0,1.1962203457981504
Uttar Pradesh,Ballia,2003,Rabi,finger millet,6.0,9.0,1.5
Uttar Pradesh,Ballia,2003,Rabi,rapeseed &mustard,879.0,876.0,0.9965870307167235
Uttar Pradesh,Ballia,2003,Rabi,wheat,136832.0,321216.0,2.3475210477081383
Uttar Pradesh,Ballia,2003,Summer,maize,734.0,1003.0,1.3664850136239781
Uttar Pradesh,Ballia,2003,Summer,greengram,249.0,151.0,0.606425702811245
Uttar Pradesh,Ballia,2003,Summer,blackgram,11.0,5.0,0.45454545454545453
Uttar Pradesh,Ballia,2003,Whole Year,tobacco,2.0,15.0,7.5
Uttar Pradesh,Ballia,2003,Whole Year,turmeric,2.0,3.0,1.5
Uttar Pradesh,Ballia,2004,Kharif,pearl millet,2052.0,3329.0,1.6223196881091617
Uttar Pradesh,Ballia,2004,Kharif,groundnut,192.0,158.0,0.8229166666666666
Uttar Pradesh,Ballia,2004,Kharif,sorghum,1570.0,1660.0,1.0573248407643312
Uttar Pradesh,Ballia,2004,Kharif,maize,25513.0,26738.0,1.0480147375847606
Uttar Pradesh,Ballia,2004,Kharif,rice,120195.0,64687.0,0.5381837846832231
Uttar Pradesh,Ballia,2004,Kharif,sesame,4.0,1.0,0.25
Uttar Pradesh,Ballia,2004,Kharif,millet,117.0,40.0,0.3418803418803419
Uttar Pradesh,Ballia,2004,Rabi,barley,6352.0,9531.0,1.5004722921914357
Uttar Pradesh,Ballia,2004,Rabi,gram,3524.0,3629.0,1.0297956867196367
Uttar Pradesh,Ballia,2004,Rabi,maize,711.0,3013.0,4.237693389592124
Uttar Pradesh,Ballia,2004,Rabi,rapeseed &mustard,915.0,909.0,0.9934426229508196
Uttar Pradesh,Ballia,2004,Rabi,turmeric,3.0,5.0,1.6666666666666667
Uttar Pradesh,Ballia,2004,Rabi,wheat,143467.0,261978.0,1.826050590031157
Uttar Pradesh,Ballia,2004,Summer,sunflower,2.0,4.0,2.0
Uttar Pradesh,Ballia,2004,Whole Year,dry chillies,144.0,135.0,0.9375
Uttar Pradesh,Ballia,2004,Whole Year,garlic,28.0,121.0,4.321428571428571
Uttar Pradesh,Ballia,2004,Whole Year,guar seed,13.0,11.0,0.8461538461538461
Uttar Pradesh,Ballia,2004,Whole Year,tobacco,4.0,17.0,4.25
Uttar Pradesh,Ballia,2005,Kharif,pearl millet,1504.0,2275.0,1.5126329787234043
Uttar Pradesh,Ballia,2005,Kharif,sorghum,1051.0,1331.0,1.2664129400570885
Uttar Pradesh,Ballia,2005,Kharif,maize,27138.0,21005.0,0.7740069275554573
Uttar Pradesh,Ballia,2005,Kharif,rice,122495.0,179210.0,1.462998489734275
Uttar Pradesh,Ballia,2005,Kharif,millet,126.0,86.0,0.6825396825396826
Uttar Pradesh,Ballia,2005,Rabi,barley,6311.0,10559.0,1.673110442085248
Uttar Pradesh,Ballia,2005,Rabi,gram,4156.0,4026.0,0.9687199230028873
Uttar Pradesh,Ballia,2005,Rabi,rapeseed &mustard,895.0,1038.0,1.1597765363128492
Uttar Pradesh,Ballia,2005,Rabi,turmeric,2.0,9.0,4.5
Uttar Pradesh,Ballia,2005,Rabi,wheat,144385.0,304352.0,2.1079197977629254
Uttar Pradesh,Ballia,2005,Summer,sunflower,7.0,9.0,1.2857142857142858
Uttar Pradesh,Ballia,2005,Whole Year,coriander,11.0,6.0,0.5454545454545454
Uttar Pradesh,Ballia,2005,Whole Year,dry chillies,138.0,126.0,0.9130434782608695
Uttar Pradesh,Ballia,2005,Whole Year,garlic,31.0,135.0,4.354838709677419
Uttar Pradesh,Ballia,2006,Kharif,pigeonpea,6766.0,2876.0,0.42506650901566656
Uttar Pradesh,Ballia,2006,Kharif,pearl millet,2296.0,3552.0,1.5470383275261324
Uttar Pradesh,Ballia,2006,Kharif,dry ginger,1.0,3.0,3.0
Uttar Pradesh,Ballia,2006,Kharif,groundnut,109.0,79.0,0.7247706422018348
Uttar Pradesh,Ballia,2006,Kharif,sorghum,2096.0,2600.0,1.2404580152671756
Uttar Pradesh,Ballia,2006,Kharif,maize,26231.0,23293.0,0.8879951202775342
Uttar Pradesh,Ballia,2006,Kharif,other kharif pulses,316.0,166.0,0.5253164556962026
Uttar Pradesh,Ballia,2006,Kharif,rice,119243.0,159309.0,1.336002951955251
Uttar Pradesh,Ballia,2006,Kharif,millet,46.0,29.0,0.6304347826086957
Uttar Pradesh,Ballia,2006,Rabi,barley,6353.0,11161.0,1.7568078073351172
Uttar Pradesh,Ballia,2006,Rabi,garlic,58.0,255.0,4.396551724137931
Uttar Pradesh,Ballia,2006,Rabi,gram,3524.0,2943.0,0.8351305334846765
Uttar Pradesh,Ballia,2006,Rabi,maize,710.0,2059.0,2.9
Uttar Pradesh,Ballia,2006,Rabi,masoor,20273.0,18732.0,0.9239875696739506
Uttar Pradesh,Ballia,2006,Rabi,other  rabi pulses,2896.0,2800.0,0.9668508287292817
Uttar Pradesh,Ballia,2006,Rabi,rapeseed &mustard,924.0,952.0,1.0303030303030303
Uttar Pradesh,Ballia,2006,Rabi,tobacco,4.0,21.0,5.25
Uttar Pradesh,Ballia,2006,Rabi,turmeric,3.0,10.0,3.3333333333333335
Uttar Pradesh,Ballia,2006,Rabi,wheat,143467.0,354506.0,2.4709933294764648
Uttar Pradesh,Ballia,2006,Summer,maize,959.0,1272.0,1.3263816475495307
Uttar Pradesh,Ballia,2006,Summer,sunflower,2.0,3.0,1.5
Uttar Pradesh,Ballia,2006,Whole Year,coriander,21.0,11.0,0.5238095238095238
Uttar Pradesh,Ballia,2006,Whole Year,dry chillies,109.0,103.0,0.944954128440367
Uttar Pradesh,Ballia,2006,Whole Year,guar seed,59.0,50.0,0.847457627118644
Uttar Pradesh,Ballia,2007,Kharif,pigeonpea,5633.0,3895.0,0.6914610331972306
Uttar Pradesh,Ballia,2007,Kharif,pearl millet,2098.0,3271.0,1.5591039084842708
Uttar Pradesh,Ballia,2007,Kharif,dry chillies,134.0,129.0,0.9626865671641791
Uttar Pradesh,Ballia,2007,Kharif,groundnut,295.0,177.0,0.6
Uttar Pradesh,Ballia,2007,Kharif,guar seed,18.0,15.0,0.8333333333333334
Uttar Pradesh,Ballia,2007,Kharif,sorghum,1515.0,1301.0,0.8587458745874588
Uttar Pradesh,Ballia,2007,Kharif,maize,24977.0,17434.0,0.6980021619890299
Uttar Pradesh,Ballia,2007,Kharif,rice,118660.0,220114.0,1.8549974717680768
Uttar Pradesh,Ballia,2007,Kharif,millet,81.0,49.0,0.6049382716049383
Uttar Pradesh,Ballia,2007,Kharif,blackgram,4.0,2.0,0.5
Uttar Pradesh,Ballia,2007,Rabi,barley,3495.0,7430.0,2.1258941344778255
Uttar Pradesh,Ballia,2007,Rabi,coriander,27.0,16.0,0.5925925925925926
Uttar Pradesh,Ballia,2007,Rabi,gram,1959.0,1884.0,0.9617151607963247
Uttar Pradesh,Ballia,2007,Rabi,maize,530.0,1415.0,2.669811320754717
Uttar Pradesh,Ballia,2007,Rabi,masoor,18327.0,21241.0,1.1590003819501282
Uttar Pradesh,Ballia,2007,Rabi,other  rabi pulses,3282.0,4624.0,1.408897014015844
Uttar Pradesh,Ballia,2007,Rabi,rapeseed &mustard,960.0,1111.0,1.1572916666666666
Uttar Pradesh,Ballia,2007,Rabi,turmeric,1.0,3.0,3.0
Uttar Pradesh,Ballia,2007,Rabi,wheat,136262.0,354217.0,2.599528848835332
Uttar Pradesh,Ballia,2007,Summer,maize,686.0,986.0,1.4373177842565599
Uttar Pradesh,Ballia,2007,Summer,greengram,167.0,106.0,0.6347305389221557
Uttar Pradesh,Ballia,2007,Summer,sunflower,11.0,18.0,1.6363636363636365
Uttar Pradesh,Ballia,2007,Summer,blackgram,2.0,1.0,0.5
Uttar Pradesh,Ballia,2008,Kharif,pigeonpea,4311.0,879.0,0.20389700765483645
Uttar Pradesh,Ballia,2008,Kharif,pearl millet,1960.0,3264.0,1.6653061224489796
Uttar Pradesh,Ballia,2008,Kharif,dry chillies,84.0,84.0,1.0
Uttar Pradesh,Ballia,2008,Kharif,groundnut,287.0,205.0,0.7142857142857143
Uttar Pradesh,Ballia,2008,Kharif,guar seed,18.0,15.0,0.8333333333333334
Uttar Pradesh,Ballia,2008,Kharif,sorghum,716.0,869.0,1.2136871508379887
Uttar Pradesh,Ballia,2008,Kharif,maize,11061.0,1349.0,0.12196003977940512
Uttar Pradesh,Ballia,2008,Kharif,greengram,26.0,10.0,0.38461538461538464
Uttar Pradesh,Ballia,2008,Kharif,rice,123485.0,242401.0,1.9629995546017736
Uttar Pradesh,Ballia,2008,Kharif,millet,52.0,33.0,0.6346153846153846
Uttar Pradesh,Ballia,2008,Kharif,blackgram,1.0,1.0,1.0
Uttar Pradesh,Ballia,2008,Rabi,barley,2102.0,4939.0,2.3496669838249287
Uttar Pradesh,Ballia,2008,Rabi,coriander,34.0,20.0,0.5882352941176471
Uttar Pradesh,Ballia,2008,Rabi,garlic,53.0,312.0,5.886792452830188
Uttar Pradesh,Ballia,2008,Rabi,gram,3265.0,4183.0,1.2811638591117918
Uttar Pradesh,Ballia,2008,Rabi,maize,628.0,1648.0,2.624203821656051
Uttar Pradesh,Ballia,2008,Rabi,masoor,18597.0,21944.0,1.1799752648276605
Uttar Pradesh,Ballia,2008,Rabi,peas & beans (pulses),2161.0,2714.0,1.2559000462748728
Uttar Pradesh,Ballia,2008,Rabi,rapeseed &mustard,863.0,976.0,1.1309385863267671
Uttar Pradesh,Ballia,2008,Rabi,wheat,148282.0,401718.0,2.7091487840735895
Uttar Pradesh,Ballia,2008,Summer,maize,714.0,1068.0,1.495798319327731
Uttar Pradesh,Ballia,2008,Summer,greengram,179.0,134.0,0.7486033519553073
Uttar Pradesh,Ballia,2008,Summer,sunflower,33.0,61.0,1.8484848484848484
Uttar Pradesh,Ballia,2008,Summer,blackgram,17.0,11.0,0.6470588235294118
Uttar Pradesh,Ballia,2009,Kharif,pigeonpea,3845.0,2878.0,0.7485045513654096
Uttar Pradesh,Ballia,2009,Kharif,pearl millet,1110.0,1884.0,1.6972972972972973
Uttar Pradesh,Ballia,2009,Kharif,dry chillies,122.0,107.0,0.8770491803278688
Uttar Pradesh,Ballia,2009,Kharif,groundnut,120.0,81.0,0.675
Uttar Pradesh,Ballia,2009,Kharif,guar seed,22.0,18.0,0.8181818181818182
Uttar Pradesh,Ballia,2009,Kharif,sorghum,688.0,747.0,1.0857558139534884
Uttar Pradesh,Ballia,2009,Kharif,maize,4950.0,6692.0,1.351919191919192
Uttar Pradesh,Ballia,2009,Kharif,rice,82351.0,89433.0,1.0859977413753323
Uttar Pradesh,Ballia,2009,Kharif,blackgram,1.0,1.0,1.0
Uttar Pradesh,Ballia,2009,Rabi,barley,1884.0,4234.0,2.2473460721868364
Uttar Pradesh,Ballia,2009,Rabi,coriander,24.0,14.0,0.5833333333333334
Uttar Pradesh,Ballia,2009,Rabi,garlic,48.0,255.0,5.3125
Uttar Pradesh,Ballia,2009,Rabi,gram,3656.0,3296.0,0.9015317286652079
Uttar Pradesh,Ballia,2009,Rabi,maize,926.0,2829.0,3.0550755939524836
Uttar Pradesh,Ballia,2009,Rabi,masoor,18836.0,19872.0,1.0550010617965597
Uttar Pradesh,Ballia,2009,Rabi,peas & beans (pulses),3294.0,3982.0,1.2088646023072254
