District,Zn %,Fe%,Cu %,Mn %,B %,S %
BHADRADRI KOTHAGUDEM,37.05,24.54,85.53,50.05,74.51,69.24
HANUMAKONDA,33.18,57.13,92.47,83.62,71.28,91.46
HYDERABAD,0.0,0.0,0.0,0.0,0.0,0.0
JAGITIAL,57.04,59.09,89.39,79.27,59.3,64.26
JANGOAN,31.36,41.6,60.85,57.39,43.01,69.07
JAYASHANKAR BHUPALAPALLY,21.51,41.63,93.11,89.05,77.77,92.75
JOGULAMBA GADWAL,56.89,40.57,74.89,45.42,74.5,57.41
KAMAREDDY,58.81,48.48,87.65,63.11,82.58,71.75
KARIMNAGAR,72.96,53.0,96.75,79.88,70.97,69.32
KHAMMAM,37.79,24.67,82.2,57.16,72.34,83.16
KUMURAM BHEEM ASIFABAD,73.21,79.11,97.03,91.66,85.19,93.95
MAHABUBABAD,44.39,51.95,89.63,85.13,81.47,89.07
MAHBUBNAGAR,73.95,63.37,94.86,83.08,82.65,85.89
MANCHERIAL,56.0,76.72,92.31,94.19,79.92,86.97
MEDAK,45.0,71.49,93.72,97.56,97.6,98.65
MEDCHAL MALKAJGIRI,63.64,26.75,91.6,52.0,96.87,74.36
MULUGU,27.53,49.94,92.8,88.76,74.1,96.45
NAGARKURNOOL,70.66,59.57,81.64,69.89,72.84,83.13
NALGONDA,70.91,60.17,97.09,81.04,67.61,84.4
NARAYANAPET,76.15,68.56,92.91,82.95,82.77,88.94
NIRMAL,78.46,73.8,94.22,84.26,86.39,87.6
NIZAMABAD,64.49,52.31,95.62,65.61,89.71,75.14
PEDDAPALLI,70.6,57.93,97.36,81.41,77.74,70.69
RAJANNA SIRCILLA,74.41,66.91,94.52,89.92,74.89,83.66
RANGAREDDI,77.02,49.29,88.12,73.72,76.72,57.05
SANGAREDDY,81.6,75.51,99.11,91.85,95.92,95.7
SIDDIPET,43.12,57.85,95.88,88.17,85.84,89.99
SURYAPET,75.69,55.17,97.6,80.97,75.88,88.43
VIKARABAD,53.83,54.61,84.07,77.06,80.46,78.02
WANAPARTHY,49.11,52.91,86.53,91.13,63.46,64.37
WARANGAL,58.49,64.64,96.1,91.59,73.12,94.98
YADADRI BHUVANAGIRI,58.18,49.33,94.98,69.95,69.37,76.22
DADRA AND NAGAR HAVELI,93.4,98.88,99.95,100.0,100.0,100.0
DAMAN,97.24,97.7,100.0,99.54,0.0,99.54
DIU,46.67,10.67,67.57,56.34,37.33,82.67
DHALAI,78.27,97.53,99.08,97.46,78.85,93.7
GOMATI,72.99,99.68,98.66,99.74,79.82,92.54
KHOWAI,78.06,99.22,99.64,97.95,85.18,98.87
NORTH TRIPURA,72.95,99.46,98.63,98.53,70.43,92.71
SEPAHIJALA,85.28,98.71,99.7,98.47,88.18,96.29
SOUTH TRIPURA,82.56,99.07,96.8,96.72,80.82,97.48
UNAKOTI,78.7,99.64,95.73,99.41,84.11,99.37
WEST TRIPURA,84.03,97.09,98.7,97.45,81.97,90.97
AGRA,69.19,51.98,91.49,80.82,80.27,83.88
ALIGARH,66.72,70.57,98.22,89.27,57.9,78.7
ALLAHABAD,96.7,96.49,99.52,96.81,97.16,77.8
AMBEDKAR NAGAR,76.45,49.66,92.94,59.99,55.89,59.19
AMETHI,51.3,22.33,97.56,31.09,70.08,36.35
AMROHA,72.01,73.7,90.06,82.13,59.69,57.33
AURAIYA,90.01,64.8,93.49,95.55,61.48,48.99
AYODHYA,57.91,4.17,70.56,35.32,56.78,75.64
AZAMGARH,36.0,56.23,99.26,96.99,37.29,5.6
BAGHPAT,67.76,57.52,94.73,73.72,88.09,76.97
BAHRAICH,70.67,77.48,96.98,80.08,65.34,46.17
BALLIA,86.73,85.14,99.78,95.95,95.7,27.05
BALRAMPUR,97.02,94.0,98.63,97.76,54.41,84.91
BANDA,64.24,27.19,88.12,44.08,45.89,71.36
BARABANKI,55.48,54.13,85.11,79.67,29.38,45.94
BAREILLY,49.02,57.65,93.77,53.71,46.0,60.33
BASTI,5.01,94.13,99.88,87.94,38.03,26.44
BHADOHI,65.4,76.12,94.5,96.62,95.35,59.57
BIJNOR,79.96,64.97,93.86,86.79,64.43,65.72
BUDAUN,51.64,57.93,88.56,56.93,49.34,47.34
BULANDSHAHR,59.41,54.6,95.86,65.01,89.74,82.46
CHANDAULI,21.67,64.7,93.3,89.52,78.24,23.99
CHITRAKOOT,67.42,11.32,91.08,69.69,35.08,90.61
DEORIA,58.94,79.83,98.62,89.44,78.29,60.24
ETAH,78.94,77.3,98.6,95.92,73.44,91.23
ETAWAH,89.95,98.18,99.03,99.58,35.46,96.8
FARRUKHABAD,57.18,70.43,89.7,88.75,43.74,41.93
FATEHPUR,91.98,97.68,98.1,97.66,94.29,97.76
FIROZABAD,40.82,81.62,82.17,94.89,79.08,69.84
GAUTAM BUDDHA NAGAR,84.85,68.56,96.89,87.86,82.32,86.94
GHAZIABAD,78.64,79.5,96.57,93.11,39.98,83.98
GHAZIPUR,27.43,63.08,98.85,89.48,43.85,22.53
GONDA,93.55,81.11,98.32,82.78,31.68,64.87
GORAKHPUR,60.28,74.0,98.93,87.4,70.72,66.73
HAMIRPUR,66.38,67.04,94.59,79.97,3.08,73.13
HAPUR,52.51,65.15,96.17,83.79,68.67,63.04
HARDOI,97.91,97.24,89.4,99.24,95.94,61.24
HATHRAS,75.91,51.21,95.36,90.43,70.0,88.76
JALAUN,77.67,75.09,99.18,91.31,89.15,75.84
JAUNPUR,62.81,72.25,97.19,93.33,14.89,15.34
JHANSI,86.45,77.07,98.5,90.78,86.83,85.81
KANNAUJ,79.27,75.05,97.45,97.36,67.64,62.19
KANPUR DEHAT,81.95,78.3,98.48,99.3,86.19,39.97
KANPUR NAGAR,75.78,98.78,99.35,83.55,87.37,80.01
KASGANJ,88.63,84.92,99.72,94.13,58.8,89.68
KAUSHAMBI,70.33,85.63,94.62,90.26,82.52,89.54
KHERI,99.52,94.95,99.77,94.67,93.13,72.01
KUSHI NAGAR,72.17,73.45,98.18,85.11,71.36,57.94
LALITPUR,68.78,94.58,99.09,90.12,96.72,47.78
LUCKNOW,94.44,97.53,99.81,98.8,63.52,90.08
MAHARAJGANJ,67.11,94.09,95.42,97.67,62.74,78.21
MAHOBA,34.98,10.29,70.66,47.68,21.93,72.08
MAINPURI,64.64,60.78,85.73,87.58,77.15,89.38
MATHURA,63.72,47.12,92.39,87.82,98.06,65.55
MAU,85.82,81.15,99.77,86.42,91.53,1.1
MEERUT,75.15,74.1,98.81,87.52,86.52,78.47
MIRZAPUR,81.62,82.99,99.52,98.12,4.96,98.85
MORADABAD,79.4,75.88,95.16,83.48,59.86,64.86
MUZAFFARNAGAR,75.31,94.04,99.73,92.96,94.28,58.05
PILIBHIT,44.38,81.54,98.32,76.97,68.63,50.82
PRATAPGARH,92.23,88.9,99.64,92.51,82.02,90.54
RAE BARELI,95.77,94.34,99.64,88.57,99.75,8.57
RAMPUR,74.4,68.39,92.82,73.96,53.34,70.62
SAHARANPUR,74.5,85.58,99.09,70.28,86.05,64.47
SAMBHAL,74.88,66.89,94.77,61.99,43.73,65.66
SANT KABEER NAGAR,6.33,82.01,99.88,86.98,33.24,22.87
SHAHJAHANPUR,55.22,57.88,96.56,55.5,50.23,53.42
SHAMLI,82.12,86.38,99.84,87.67,93.0,72.63
SHRAVASTI,90.08,50.14,98.58,87.59,68.18,81.96
SIDDHARTH NAGAR,12.05,81.56,99.7,65.39,27.38,15.78
SITAPUR,85.04,90.44,98.29,85.69,88.08,84.12
SONBHADRA,79.57,93.7,99.98,99.42,17.56,99.41
SULTANPUR,91.88,74.31,94.52,88.47,29.78,67.77
UNNAO,95.81,91.8,99.51,95.58,95.5,97.54
VARANASI,47.66,81.62,98.81,88.37,45.84,32.82
ALMORA,97.83,92.94,72.42,96.45,88.71,96.15
BAGESHWAR,97.15,98.95,99.49,97.34,95.83,87.87
CHAMOLI,91.27,91.89,96.74,68.22,66.05,92.15
CHAMPAWAT,94.31,95.0,95.04,96.27,84.74,74.11
DEHRADUN,94.74,97.35,96.85,89.46,75.23,81.31
HARIDWAR,69.09,77.4,89.02,82.81,30.5,61.36
NAINITAL,86.87,61.06,76.62,58.01,98.51,93.24
PAURI GARHWAL,87.5,85.84,87.34,85.26,85.07,91.55
PITHORAGARH,86.34,95.78,95.75,92.68,50.69,79.32
RUDRA PRAYAG,89.96,81.21,97.7,68.18,69.07,93.96
TEHRI GARHWAL,88.33,89.76,94.81,87.5,75.0,54.3
UDAM SINGH NAGAR,77.31,84.46,90.15,79.85,28.54,76.53
UTTAR KASHI,94.9,95.06,96.75,87.52,63.44,39.82
24 PARAGANAS NORTH,90.91,100.0,100.0,90.91,90.91,100.0
BIRBHUM,93.95,100.0,98.63,97.06,78.52,22.07
KALIMPONG,100.0,100.0,100.0,84.81,100.0,62.5
MALDAH,98.56,93.78,97.61,68.6,81.34,44.98
MURSHIDABAD,96.36,99.59,100.0,94.31,87.85,36.84
NADIA,86.96,97.83,100.0,77.17,71.74,22.83
